位置,身高,体重,年龄,球龄,上场次数,场均时间,进攻能力,防守能力,是否入选全明星
4,2.08,102,29,7,63,33.87,20.313,4,0
4,2.01,113,37,16,25,6.4,2.72,0,0
5,2.13,122,29,8,77,9.58,7.351,1,0
4,2.08,111,21,1,71,16.3,7.172,2,0
4,2.03,111,26,5,64,25.88,16.575,2,0
1,1.88,79,33,9,62,16.32,6.369,1,0
5,2.11,119,30,8,31,17.88,7.193,4,0
5,2.13,108,26,3,75,20.5,11.013,3,0
1,1.75,84,28,5,76,33.78,34.825,2,1
3,2.01,103,37,13,74,23.98,9.755,4,0
1,1.91,91,28,8,81,34.58,42.95,9,1
3,1.98,95,23,0,57,17.12,6.215,2,0
3,1.93,93,30,7,33,17.4,7.882,1,0
5,2.11,113,28,6,62,8.55,2.093,1,0
5,2.08,111,31,9,68,32.25,19.956,6,1
3,1.98,102,32,8,47,21.9,5.147,1,0
2,1.96,88,25,2,82,29.22,17.298,3,0
3,1.98,102,32,12,41,28.95,10.072,2,0
5,2.11,122,33,13,70,18.12,9.976,3,0
3,1.96,95,32,8,49,14.57,6.04,0,0
2,1.91,86,31,9,50,16.2,8.82,1,0
3,1.96,91,37,16,82,26.3,14.888,1,0
3,1.98,100,34,7,30,10.27,3.237,0,0
5,2.06,111,32,12,56,12.28,6.108,2,0
5,2.03,103,27,5,61,21.23,13.522,4,0
2,1.96,91,26,0,78,25.2,8.96,2,0
3,1.98,88,28,1,78,17.85,7.805,1,0
3,2.03,90,22,2,82,37.17,26.875,3,0
2,1.93,97,23,0,82,23.02,12.036,2,0
4,2.08,109,26,2,70,23.98,11.701,4,0
1,1.88,84,35,15,63,25.18,14.654,1,1
4,2.06,100,24,4,77,28.87,12.183,3,0
1,1.85,83,27,5,79,34.67,28.654,4,1
5,2.06,107,29,7,41,15.57,7.414,2,0
5,2.06,129,27,6,49,11.4,5.199,2,0
2,1.91,91,29,6,36,24.52,19.641,4,0
4,2.06,111,22,2,74,17.1,5.839,3,0
5,2.13,120,25,4,80,25.82,14.702,6,0
4,2.03,102,25,4,79,35.48,21.701,3,0
5,2.08,107,28,7,79,30.65,16.799,6,0
1,1.91,88,26,5,80,25.03,12.562,2,0
3,2.01,102,25,3,80,29.18,9.74,2,0
1,1.85,78,24,3,79,31.45,24.216,2,0
